Unnamed: 0,Speaker,Text,Time Start,Time End,Entities,Redacted_Text
0,SPEAKER 1, Thank you for calling Cokes and Gouts.,00:00:00,00:00:00,"['Cokes', 'Gouts']", Thank you for calling **** and ****.
1,SPEAKER 2, My name is Sam.,00:00:08,00:00:08,['Sam'], My name is ****.
2,SPEAKER 1," How can I help you? Oh yes, I bought a code from you guys but I need to return it because it was the wrong size and my size is not available. I haven't received any email from you and I wonder if my payment has been refunded.",00:00:09,00:00:24,[]," How can I help you? Oh yes, I bought a code from you guys but I need to return it because it was the wrong size and my size is not available. I haven't received any email from you and I wonder if my payment has been refunded."
3,SPEAKER 2, Seems like it does not reflect on my account yet. I do apologize for the inconvenience but let me go ahead and check if there are some notes in the order details. May I ask for the original online order number?,00:00:31,00:00:39,[], Seems like it does not reflect on my account yet. I do apologize for the inconvenience but let me go ahead and check if there are some notes in the order details. May I ask for the original online order number?
4,SPEAKER 1," Okay, let me see. Alright, please wait for a moment. Okay, hold on. Okay, I believe it's 017-1425-793.",00:00:43,00:00:49,['017-1425-793']," Okay, let me see. Alright, please wait for a moment. Okay, hold on. Okay, I believe it's ****."
5,SPEAKER 2," Thank you. Just to verify that 017-1425-793, correct?",00:00:56,00:00:57,['017-1425-793']," Thank you. Just to verify that ****, correct?"
6,SPEAKER 1," Yes, that's right.",00:01:03,00:01:03,[]," Yes, that's right."
7,SPEAKER 2, I do apologize but the one that you provided is actually not accepting towards our database.,00:01:05,00:01:05,[], I do apologize but the one that you provided is actually not accepting towards our database.
8,SPEAKER 1, Do you actually have a number that starts with 007 or 7?,00:01:12,00:01:12,['007'], Do you actually have a number that starts with **** or 7?
9,SPEAKER 2, Can I ask for your first and last name so I can manually check it in our database?,00:01:20,00:01:20,['first'], Can I ask for your **** and last name so I can manually check it in our database?
10,SPEAKER 1," Yeah, I'm not sure about a 000 something. Anyway it's Adam Wilson.",00:01:23,00:01:28,"['000', 'Adam Wilson']"," Yeah, I'm not sure about a **** something. Anyway it's ****."
11,SPEAKER 2," Alright, thank you. So Wilson is spelled as W for Whiskey, I for India, L for Lima, S for Sierra, O for Oscar and for November. Is that correct Adam?",00:01:30,00:01:42,"['Wilson', 'India', 'L', 'Lima', 'Sierra', 'Oscar', 'November', 'Adam']"," Alright, thank you. So **** is spelled as W for Whiskey, I for ****, **** for ****ima, S for ****, O for **** and for ****. Is that correct ****?"
12,SPEAKER 1, Yes.,00:01:43,00:01:43,[], Yes.
13,SPEAKER 2," Alright, thank you for that information. Okay, let me just quickly log into a portal and check any notes in your order. Do you still have the return tracking from the courier company when you return the item?",00:01:44,00:01:51,[]," Alright, thank you for that information. Okay, let me just quickly log into a portal and check any notes in your order. Do you still have the return tracking from the courier company when you return the item?"
14,SPEAKER 1, Not sure. Is it the 074-391?,00:01:57,00:02:00,['074'], Not sure. Is it the ****-391?
15,SPEAKER 2," That's actually the return authorization from Coats and Gowns. When you return the item to the courier company for shipping, they should have provided you",00:02:04,00:02:08,['Coats']," That's actually the return authorization from **** and Gowns. When you return the item to the courier company for shipping, they should have provided you"
16,SPEAKER 1, with the return tracking. Do you still have that? It's actually printed in the upper right part of the receipt. Okay I probably have to dig it up. Okay I imagine I have it somewhere but it might take some time to look for that.,00:02:12,00:02:25,[], with the return tracking. Do you still have that? It's actually printed in the upper right part of the receipt. Okay I probably have to dig it up. Okay I imagine I have it somewhere but it might take some time to look for that.
17,SPEAKER 2, Oh I see. Anyway I tried to search for your name and nothing is coming up. Can you ask for the order under your name originally?,00:02:32,00:02:36,[], Oh I see. Anyway I tried to search for your name and nothing is coming up. Can you ask for the order under your name originally?
18,SPEAKER 1," Yes, it's Adam, my name.",00:02:40,00:02:40,['Adam']," Yes, it's ****, my name."
19,SPEAKER 2, So it's not under Andy or something?,00:02:43,00:02:43,['Andy'], So it's not under **** or something?
20,SPEAKER 1," It's Adam? Yes, exactly.",00:02:46,00:02:47,['Adam']," It's ****? Yes, exactly."
21,SPEAKER 2, Thank you. Now what's the phone number that you put in the order before?,00:02:49,00:02:50,[], Thank you. Now what's the phone number that you put in the order before?
22,SPEAKER 1, Okay probably it's 411-3403-77.,00:02:53,00:02:53,['411-3403-77'], Okay probably it's ****.
23,SPEAKER 2, Thank you. Just to make sure that's 411-3403-77.,00:03:01,00:03:02,['411-3403-77'], Thank you. Just to make sure that's ****.
24,SPEAKER 1, Is that correct?,00:03:05,00:03:05,[], Is that correct?
25,SPEAKER 2, 0377. Okay and what's the email address that you gave when you fill out the order form?,00:03:06,00:03:07,['0377'], ****. Okay and what's the email address that you gave when you fill out the order form?
26,SPEAKER 1, Okay that should be Adam underscore Wilson at mailfence.com.,00:03:12,00:03:12,"['Adam', 'Wilson']", Okay that should be **** underscore **** at mailfence.com.
27,SPEAKER 2, Thank you.,00:03:20,00:03:20,[], Thank you.
28,SPEAKER 1, So again it's Adam underscore Wilson at mailfence.com. Is that correct? Yes it is.,00:03:21,00:03:27,"['Adam', 'Wilson']", So again it's **** underscore **** at mailfence.com. Is that correct? Yes it is.
29,SPEAKER 2, Thank you.,00:03:29,00:03:29,[], Thank you.
30,SPEAKER 1, So Adam underscore Wilson at mailfence.com.,00:03:30,00:03:30,"['Adam', 'Wilson']", So **** underscore **** at mailfence.com.
31,SPEAKER 2, Okay thank you. Now I just want to make sure that I have the correct details.,00:03:37,00:03:38,[], Okay thank you. Now I just want to make sure that I have the correct details.
32,SPEAKER 1, Please hold on for a moment.,00:03:41,00:03:41,[], Please hold on for a moment.
33,SPEAKER 2, We'll check on the details here in my end.,00:03:43,00:03:43,[], We'll check on the details here in my end.
34,SPEAKER 1, Oh sure no problem. Alright. Okay thank you for patiently waiting Adam.,00:03:45,00:03:49,['Adam'], Oh sure no problem. Alright. Okay thank you for patiently waiting ****.
35,SPEAKER 2, Now I can actually see here that you have called to inform us that you'd like to return,00:03:56,00:03:56,[], Now I can actually see here that you have called to inform us that you'd like to return
36,SPEAKER 1, the item on the 15th of November. Is that correct? Yes.,00:04:02,00:04:07,['the 15th of November'], the item on ****. Is that correct? Yes.
37,SPEAKER 2, Now did you return the item to the courier company on the same date that you called?,00:04:08,00:04:08,[], Now did you return the item to the courier company on the same date that you called?
38,SPEAKER 1, Probably close to it. I'm not really sure if it's on the same date though but probably just close to that date.,00:04:14,00:04:17,[], Probably close to it. I'm not really sure if it's on the same date though but probably just close to that date.
39,SPEAKER 2, I understand. However upon checking the date that you actually called in for the return it's already beyond the time frame that we asked for refunds. So what we'll do is I'll go ahead and forward this information to our corporate office and I'll have them check and update you directly about the refund. So please expect an email within two to four business days. Is that okay with you?,00:04:23,00:04:46,['two to four business days'], I understand. However upon checking the date that you actually called in for the return it's already beyond the time frame that we asked for refunds. So what we'll do is I'll go ahead and forward this information to our corporate office and I'll have them check and update you directly about the refund. So please expect an email within ****. Is that okay with you?
40,SPEAKER 1, Two to four business days?,00:04:47,00:04:47,['Two to four'], **** business days?
41,SPEAKER 2, Yes. No worries. I will send it to them right now.,00:04:49,00:04:51,[], Yes. No worries. I will send it to them right now.
42,SPEAKER 1, Oh really?,00:04:53,00:04:53,[], Oh really?
43,SPEAKER 2, Okay alright alright.,00:04:54,00:04:54,[], Okay alright alright.
44,SPEAKER 1, At first I thought that it would probably be like three to five weeks to process.,00:04:55,00:04:55,['three to five weeks'], At first I thought that it would probably be like **** to process.
45,SPEAKER 2, Oh no no no no don't worry Adam. It's only two to four business days. So you already checked your account and nothing has been credited yet in the card ending in 753? Is that right?,00:05:00,00:05:10,"['Adam', 'only two to four', '753']", Oh no no no no don't worry ****. It's **** business days. So you already checked your account and nothing has been credited yet in the card ending in ****? Is that right?
46,SPEAKER 1, Not yet.,00:05:11,00:05:11,[], Not yet.
47,SPEAKER 2, Okay I understand. And I'll go ahead and forward into the details that I have here. So I'll send the email to Adam underscore Wilson at mailfence.com correct? Yes that's right. Alright thank you so much for that information Adam. I will be forwarding this over to our corporate office now and thank you again for calling Coats and Gowns. Is there anything else I can help you with today?,00:05:12,00:05:36,"['Adam', 'Wilson', 'Adam', 'Coats and Gowns', 'today']", Okay I understand. And I'll go ahead and forward into the details that I have here. So I'll send the email to **** underscore **** at mailfence.com correct? Yes that's right. Alright thank you so much for that information ****. I will be forwarding this over to our corporate office now and thank you again for calling ****. Is there anything else I can help you with ****?
48,SPEAKER 1, Oh no that's all. Thank you.,00:05:39,00:05:40,[], Oh no that's all. Thank you.
49,SPEAKER 2, You're welcome and my pleasure. Have a nice day.,00:05:41,00:05:43,['a nice day'], You're welcome and my pleasure. Have ****.
50,SPEAKER 1, Bye. Alright thank you.,00:05:44,00:05:45,[], Bye. Alright thank you.
